id,review_scores_rating
2015,93
2695,100
3176,92
3309,88
7071,96
9991,100
14325,93
16401,
16644,94
17409,96
17904,96
20858,87
21869,95
22415,94
22677,94
23834,87
24569,94
25653,100
26543,91
28156,92
28268,91
28711,100
29279,96
30295,95
31440,89
33043,89
35642,
36480,88
37004,91
37052,95
37836,90
38074,89
38296,87
40600,97
41217,94
41306,80
42742,85
42809,98
43123,96
44083,84
44423,97
46161,96
46172,98
47938,100
48955,
52734,100
54952,93
55298,
55455,100
55853,95
57049,98
57209,92
57792,100
58041,97
58780,95
59249,97
60161,100
63052,92
63468,83
64245,98
64590,100
68142,96
68448,90
72079,97
73302,96
74614,81
80843,98
81049,99
81081,98
82893,91
83183,94
83568,100
83614,96
85560,92
86514,92
87549,94
89102,96
91290,99
102882,94
106290,89
106331,95
107968,99
109658,96
111579,91
114763,99
115576,100
116832,100
117649,94
121888,95
125349,97
127708,96
128827,98
135097,85
138955,95
139769,96
143605,91
145249,94
147946,98
149849,90
151249,85
153015,88
155048,95
156010,94
157546,94
157839,96
158890,100
159454,98
160517,100
161425,94
163287,96
163411,90
167189,95
168615,100
169603,99
169907,100
170582,96
170652,90
170974,93
171746,94
173153,96
174391,
174547,94
174560,94
174576,93
174579,93
175667,89
176342,93
176355,83
176396,94
176852,80
177486,93
178347,97
179102,96
180440,96
181160,98
183206,92
183918,84
183988,94
183996,98
185960,93
186851,93
186908,100
186999,77
187206,96
187326,97
188565,
188922,86
189288,94
189596,97
190448,100
191023,95
192050,98
192052,96
192103,97
192499,98
193625,94
194374,84
194465,98
194546,90
194694,94
195467,95
196149,87
196285,95
197291,95
198584,93
198896,83
200125,
201224,96
203634,98
204609,94
204617,100
205296,
206021,92
206454,99
207740,100
208495,
209649,99
210734,94
212348,
214491,96
214518,83
214784,98
214855,94
220445,93
220808,96
221015,96
222784,94
223622,100
226925,100
227072,98
228964,98
229075,97
229099,99
229348,91
229363,90
229776,97
230611,100
230824,96
231220,92
231598,93
231853,97
233083,99
233453,99
233770,92
235766,94
236509,98
236552,97
237038,98
237359,93
237670,85
238275,89
238396,96
238569,90
239139,96
239314,97
240169,92
240735,100
242366,79
242794,93
242908,
242927,80
242978,87
243057,93
243063,90
243081,94
243238,87
244425,93
244924,91
245744,90
245809,83
245827,89
245991,100
246007,83
248192,87
248375,100
249220,92
249419,97
250007,94
250023,89
250067,93
250121,100
250138,100
250171,76
250253,86
250376,96
250684,97
250687,94
250704,99
250707,90
250729,80
250753,97
251398,97
251548,93
252664,97
252699,100
252933,94
252967,91
252993,91
253005,92
253128,95
254576,100
254762,89
254788,87
255557,87
255722,89
255778,92
255829,93
256058,92
257317,92
257373,94
257658,97
257766,97
260095,98
260104,91
260365,
261205,
261452,88
261834,97
261937,
263817,100
264459,97
265286,100
265354,85
265389,80
265394,75
265400,80
265402,84
265408,92
265416,82
265433,83
265444,87
265955,98
266086,90
266181,96
267399,96
267764,98
267951,99
268910,93
268967,91
268974,99
269455,80
270477,92
271340,94
271739,96
273011,96
273076,90
273106,93
274072,93
274623,89
274686,95
274798,97
275472,83
276044,95
277653,91
278860,97
279315,87
279344,96
279504,95
281152,
282214,
282773,90
282786,82
282797,88
284390,80
288484,97
290410,84
292300,98
292864,92
295675,96
297521,98
297594,93
298056,85
301773,96
301887,93
302167,96
303097,96
304904,98
305987,98
306041,97
306312,96
306502,100
306829,94
307587,88
308421,100
309511,98
311703,98
313876,80
315533,98
316327,95
316366,85
316462,94
316547,98
320028,91
320279,95
320305,93
321295,95
321308,96
321378,92
322463,89
322520,90
323243,88
323250,89
323255,88
323259,86
323260,89
323920,100
323951,100
325979,88
326566,100
326608,98
327442,93
327773,93
328255,95
329648,100
334133,97
335273,92
336482,92
341910,89
342637,97
343190,93
344856,97
344986,99
345373,80
346404,94
347762,95
348262,94
352998,97
354033,92
355227,73
355494,88
357984,93
358746,89
359917,98
361487,96
362701,98
362874,100
363413,99
363454,97
366094,91
367182,93
367634,96
370561,94
377304,100
380281,94
380384,97
382008,96
385059,98
387607,92
393598,96
395063,100
398011,93
398962,96
399312,97
400642,100
400832,95
400898,94
401242,100
404175,96
408756,96
409846,100
410020,90
412418,93
414277,97
415218,90
417143,88
420114,96
421236,98
425411,96
425487,93
427854,91
429677,
431149,93
431343,90
431652,98
432460,93
432938,95
434209,99
436385,90
439089,
439613,100
439631,94
446975,97
447524,
450325,99
452164,100
456839,100
456902,98
458586,94
458608,98
458800,89
462459,95
464324,99
466983,92
469084,100
471495,90
473386,92
474830,99
476077,94
477515,94
477744,95
478015,95
480624,93
484506,97
485726,92
486192,97
487938,98
488161,96
491336,97
493072,97
493539,96
494492,97
495435,40
499342,94
499353,96
500641,97
501735,100
502598,100
506730,100
507671,97
507770,100
509432,95
510715,90
510987,96
511935,98
512476,92
514246,99
515145,95
517425,91
517990,
519356,100
519671,88
520538,97
523052,100
525162,100
530315,96
530527,97
532687,100
533155,95
533523,97
533864,97
534415,80
534931,
537442,91
538871,100
540705,97
541020,76
541288,53
541569,91
542316,100
542674,96
544553,96
545037,100
545065,98
550445,98
550621,90
550727,100
551644,100
552927,89
555352,80
556691,93
559210,100
559794,100
560578,91
563505,88
564821,89
565345,100
566841,98
